MEN,ID#,Price$,Color,,,WOMEN,ID#,Price $,Color
New Arrivals,,,New Arrivals
Pro-Elite 1/4 Zip Pullover ,39,$44.40,1,,,Voyager Pro ,22,$64.80,3
Essential Jogger ,28,$39.20,9,,,Surface Headband ,42,$6.00,8
Varsity Jogger ,43,$25.20,2,,,
Premium Viscose Hex Tee ,44,$21.00,3,,,
Varsity Short ,45,$19.80,1,,,
Scoop Neck Tee ,46,$19.20,4,,,
Legacy Performance Cutoff ,36,$16.80,2,,,
Legacy Performance Tee ,47,$16.80,4,,,
Proud-Never Satisfied Stringer ,37,$16.80,4,,,
Proud-Never Satisfied Cutoff ,34,$16.80,4,,,
PBMS Performance Tee ,48,$16.80,6,,,
